iter 1	16:07:50:
iter 13	16:07:53:
	r2 = {'fabius': {'default': 0.9884595209524533}}
	Parameters = {'c1': 5.600881338384351, 'c2': -106.525956364461, 'c3': 1210.282709579761, 'c4': -6583.505983663324, 'k': 5600.881338384351}
iter 14	16:07:54:
	r2 = {'fabius': {'default': 0.522064007222919}}
	Parameters = {'c1': 6.392965573382903, 'c2': -106.525956364461, 'c3': 1210.282709579761, 'c4': -6583.505983663324, 'k': 6392.965573382903}
iter 15	16:07:54:
	r2 = {'fabius': {'default': 0.627891846759169}}
	Parameters = {'c1': 5.600881338384351, 'c2': -91.46091114092246, 'c3': 1210.282709579761, 'c4': -6583.505983663324, 'k': 5600.881338384351}
iter 16	16:07:54:
	r2 = {'fabius': {'default': 0.843136760641752}}
	Parameters = {'c1': 5.600881338384351, 'c2': -106.525956364461, 'c3': 1381.4425317990967, 'c4': -6583.505983663324, 'k': 5600.881338384351}
iter 17	16:07:54:
	r2 = {'fabius': {'default': 0.973042774341009}}
	Parameters = {'c1': 5.600881338384351, 'c2': -106.525956364461, 'c3': 1210.282709579761, 'c4': -5652.457638657214, 'k': 5600.881338384351}
iter 18	16:07:55:
	r2 = {'fabius': {'default': 0.9884595273908268}}
	Parameters = {'c1': 5.600874947790546, 'c2': -106.52562931167687, 'c3': 1210.4771190153697, 'c4': -6586.873863631455, 'k': 5600.874947790546}
iter 19	16:07:55:
	r2 = {'fabius': {'default': 0.5220290947495569}}
	Parameters = {'c1': 6.392958279022655, 'c2': -106.52562931167687, 'c3': 1210.4771190153697, 'c4': -6586.873863631455, 'k': 6392.958279022655}
iter 20	16:07:55:
	r2 = {'fabius': {'default': 0.6278803074046012}}
	Parameters = {'c1': 5.600874947790546, 'c2': -91.46063034038663, 'c3': 1210.4771190153697, 'c4': -6586.873863631455, 'k': 5600.874947790546}
iter 21	16:07:55:
	r2 = {'fabius': {'default': 0.8430920245536496}}
	Parameters = {'c1': 5.600874947790546, 'c2': -106.52562931167687, 'c3': 1381.6644348807545, 'c4': -6586.873863631455, 'k': 5600.874947790546}
iter 22	16:07:56:
	r2 = {'fabius': {'default': 0.9730302288615674}}
	Parameters = {'c1': 5.600874947790546, 'c2': -106.52562931167687, 'c3': 1210.4771190153697, 'c4': -5655.349228472607, 'k': 5600.874947790546}
iter 23	16:07:56:
	r2 = {'fabius': {'default': 0.9884595262051453}}
	Parameters = {'c1': 5.600875299374592, 'c2': -106.52567835034975, 'c3': 1210.4786970321445, 'c4': -6586.8888100893055, 'k': 5600.875299374592}
iter 24	16:07:56:
	r2 = {'fabius': {'default': 0.9884595262051453}}
	Parameters = {'c1': 5.600875299374592, 'c2': -106.52567835034975, 'c3': 1210.4786970321445, 'c4': -6586.8888100893055, 'k': 5600.875299374592}
iter 25	16:07:56:
	r2 = {'fabius': {'default': 0.9884595263726725}}
	Parameters = {'c1': 5.600874911030563, 'c2': -106.52563089110494, 'c3': 1210.4772500227393, 'c4': -6586.876266147811, 'k': 5600.874911030563}
iter 26	16:07:57:
	r2 = {'fabius': {'default': 0.9884595273908268}}
	Parameters = {'c1': 5.600874947790546, 'c2': -106.52562931167687, 'c3': 1210.4771190153697, 'c4': -6586.873863631455, 'k': 5600.874947790546}
