iter 1	16:04:19:
	r2 = {'fabius': {'default': -0.9212362496444517}}
	Parameters = {'c1': 4.304824248868133, 'c2': -1.0687122985369584, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4304.8242488681335}
iter 11	16:04:22:
	r2 = {'fabius': {'default': -0.9211498155162268}}
	Parameters = {'c1': 4.304781201056123, 'c2': -1.068701611413973, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4304.781201056123}
iter 12	16:04:22:
	r2 = {'fabius': {'default': -0.9211485992373283}}
	Parameters = {'c1': 4.304781201056123, 'c2': -1.0687122985369584, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4304.781201056123}
iter 13	16:04:22:
	r2 = {'fabius': {'default': -0.9211485992373283}}
	Parameters = {'c1': 4.304781201056123, 'c2': -1.0687122985369584, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4304.781201056123}
iter 14	16:04:23:
	r2 = {'fabius': {'default': -0.9211485992373283}}
	Parameters = {'c1': 4.304781201056123, 'c2': -1.0687122985369584, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4304.781201056123}
iter 15	16:04:23:
	r2 = {'fabius': {'default': 0.6572081949863862}}
	Parameters = {'c1': 4.362891754495172, 'c2': -23.034022679026155, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4362.891754495173}
iter 16	16:04:23:
	r2 = {'fabius': {'default': 0.6571761252902764}}
	Parameters = {'c1': 4.362935383412718, 'c2': -23.034022679026155, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4362.935383412718}
iter 17	16:04:23:
	r2 = {'fabius': {'default': 0.6571983811639823}}
	Parameters = {'c1': 4.362891754495172, 'c2': -23.033792338799365, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4362.891754495173}
iter 18	16:04:24:
	r2 = {'fabius': {'default': 0.6572081949863862}}
	Parameters = {'c1': 4.362891754495172, 'c2': -23.034022679026155, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4362.891754495173}
iter 19	16:04:24:
	r2 = {'fabius': {'default': 0.6572081949863862}}
	Parameters = {'c1': 4.362891754495172, 'c2': -23.034022679026155, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4362.891754495173}
iter 20	16:04:24:
	r2 = {'fabius': {'default': 0.6572081949863862}}
	Parameters = {'c1': 4.362891754495172, 'c2': -23.034022679026155, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4362.891754495173}
iter 21	16:04:24:
	r2 = {'fabius': {'default': 0.3655703808400679}}
	Parameters = {'c1': 4.347061059526229, 'c2': -17.09162434053569, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4347.06105952623}
iter 22	16:04:25:
	r2 = {'fabius': {'default': 0.3655703808400679}}
	Parameters = {'c1': 4.347061059526229, 'c2': -17.09162434053569, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4347.06105952623}
iter 23	16:04:25:
	r2 = {'fabius': {'default': 0.3655703808400679}}
	Parameters = {'c1': 4.347061059526229, 'c2': -17.09162434053569, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4347.06105952623}
iter 24	16:04:25:
	r2 = {'fabius': {'default': 0.5533126328752533}}
	Parameters = {'c1': 4.3560384208929905, 'c2': -20.662275560413278, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4356.038420892991}
iter 25	16:04:25:
	r2 = {'fabius': {'default': 0.608988255660957}}
	Parameters = {'c1': 4.359200964535509, 'c2': -21.881469697873857, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200964535508}
iter 26	16:04:26:
	r2 = {'fabius': {'default': 0.6089532857620912}}
	Parameters = {'c1': 4.359244556545154, 'c2': -21.881469697873857, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.244556545154}
iter 27	16:04:26:
	r2 = {'fabius': {'default': 0.6089781805276121}}
	Parameters = {'c1': 4.359200964535509, 'c2': -21.88125088317688, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200964535508}
iter 28	16:04:26:
	r2 = {'fabius': {'default': 0.608988255660957}}
	Parameters = {'c1': 4.359200964535509, 'c2': -21.881469697873857, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200964535508}
iter 29	16:04:27:
	r2 = {'fabius': {'default': 0.608988255660957}}
	Parameters = {'c1': 4.359200964535509, 'c2': -21.881469697873857, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4359.200964535508}
iter 30	16:04:27:
	r2 = {'fabius': {'default': 0.608988255660957}}
	Parameters = {'c1': 4.359200964535509, 'c2': -21.881469697873857, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4359.200964535508}
iter 31	16:04:27:
	r2 = {'fabius': {'default': 0.5825549128723184}}
	Parameters = {'c1': 4.358231994618642, 'c2': -21.30089784010182, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4358.231994618642}
iter 32	16:04:27:
	r2 = {'fabius': {'default': 0.5960425338804818}}
	Parameters = {'c1': 4.3588462322299195, 'c2': -21.596568182107173, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4358.846232229919}
iter 33	16:04:28:
	r2 = {'fabius': {'default': 0.6026716463992907}}
	Parameters = {'c1': 4.3590820066437574, 'c2': -21.742744308094363, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.082006643757}
iter 34	16:04:28:
	r2 = {'fabius': {'default': 0.6062227199726924}}
	Parameters = {'c1': 4.359167923463016, 'c2': -21.820908487168793, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.1679234630155}
iter 35	16:04:28:
	r2 = {'fabius': {'default': 0.6076458417958382}}
	Parameters = {'c1': 4.3591895731488215, 'c2': -21.85212314813564, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.189573148821}
iter 36	16:04:28:
	r2 = {'fabius': {'default': 0.6083330185202499}}
	Parameters = {'c1': 4.359196620215728, 'c2': -21.867159892429118, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.196620215728}
iter 37	16:04:29:
	r2 = {'fabius': {'default': 0.6086691143523506}}
	Parameters = {'c1': 4.359199153636015, 'c2': -21.874503135765792, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.199153636016}
iter 38	16:04:29:
	r2 = {'fabius': {'default': 0.6088295082474855}}
	Parameters = {'c1': 4.359200138087418, 'c2': -21.878005199262756, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200138087418}
iter 39	16:04:29:
	r2 = {'fabius': {'default': 0.6087945449395706}}
	Parameters = {'c1': 4.359243730088799, 'c2': -21.878005199262756, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.2437300888}
iter 40	16:04:29:
	r2 = {'fabius': {'default': 0.608819459874248}}
	Parameters = {'c1': 4.359200138087418, 'c2': -21.877786419210764, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200138087418}
iter 41	16:04:30:
	r2 = {'fabius': {'default': 0.6088295082474855}}
	Parameters = {'c1': 4.359200138087418, 'c2': -21.878005199262756, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.200138087418}
iter 42	16:04:30:
	r2 = {'fabius': {'default': 0.6088295082474855}}
	Parameters = {'c1': 4.359200138087418, 'c2': -21.878005199262756, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4359.200138087418}
iter 43	16:04:30:
	r2 = {'fabius': {'default': 0.6088295082474855}}
	Parameters = {'c1': 4.359200138087418, 'c2': -21.878005199262756, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4359.200138087418}
iter 44	16:04:30:
	r2 = {'fabius': {'default': 0.6089111955025276}}
	Parameters = {'c1': 4.359195781402868, 'c2': -21.879704360363696, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.195781402868}
iter 45	16:04:31:
	r2 = {'fabius': {'default': 0.6088762318060332}}
	Parameters = {'c1': 4.3592393733606825, 'c2': -21.879704360363696, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.239373360682}
iter 46	16:04:31:
	r2 = {'fabius': {'default': 0.6089011278431671}}
	Parameters = {'c1': 4.359195781402868, 'c2': -21.87948556332009, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.195781402868}
iter 47	16:04:31:
	r2 = {'fabius': {'default': 0.6089111955025276}}
	Parameters = {'c1': 4.359195781402868, 'c2': -21.879704360363696, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.195781402868}
iter 48	16:04:31:
	r2 = {'fabius': {'default': 0.6089111955025276}}
	Parameters = {'c1': 4.359195781402868, 'c2': -21.879704360363696, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4359.195781402868}
iter 49	16:04:32:
	r2 = {'fabius': {'default': 0.6089111955025276}}
	Parameters = {'c1': 4.359195781402868, 'c2': -21.879704360363696, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4359.195781402868}
iter 50	16:04:32:
	r2 = {'fabius': {'default': 0.6089531790769398}}
	Parameters = {'c1': 4.359187478577695, 'c2': -21.880471965032697, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.187478577695}
iter 51	16:04:32:
	r2 = {'fabius': {'default': 0.60893117270862}}
	Parameters = {'c1': 4.359191818880881, 'c2': -21.88006971945086, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.191818880881}
iter 52	16:04:32:
	r2 = {'fabius': {'default': 0.6089193879463288}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879853898044995, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.19415724828}
iter 53	16:04:33:
	r2 = {'fabius': {'default': 0.6088843926661379}}
	Parameters = {'c1': 4.359237749189853, 'c2': -21.879853898044995, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.237749189852}
iter 54	16:04:33:
	r2 = {'fabius': {'default': 0.6089092992340208}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879635099506014, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.19415724828}
iter 55	16:04:33:
	r2 = {'fabius': {'default': 0.6089193879463288}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879853898044995, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.19415724828}
iter 56	16:04:33:
	r2 = {'fabius': {'default': 0.6089193879463288}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879853898044995, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4359.19415724828}
iter 57	16:04:34:
	r2 = {'fabius': {'default': 0.6089193879463288}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879853898044995, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4359.19415724828}
iter 58	16:04:34:
	r2 = {'fabius': {'default': 0.6089234417651206}}
	Parameters = {'c1': 4.359193223518722, 'c2': -21.879925710612373, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.193223518722}
iter 59	16:04:34:
	r2 = {'fabius': {'default': 0.6089198929747721}}
	Parameters = {'c1': 4.3591940406875835, 'c2': -21.879862858007147, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.194040687584}
iter 60	16:04:34:
	r2 = {'fabius': {'default': 0.6089193879463288}}
	Parameters = {'c1': 4.35919415724828, 'c2': -21.879853898044995, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4359.19415724828}
