iter 1	15:58:16:
	Parameters = {'c1': 2.96465047278001, 'c2': -1.716166019570305, 'c3': -0.12441569729531807, 'c4': 0.0011445433500171243, 'k': 2964.65047278001}
iter 19	15:58:21:
	r2 = {'fabius': {'default': 0.4877344837001265}}
	Parameters = {'c1': 2.96465047278001, 'c2': -1.726166019570305, 'c3': -0.11441569729531807, 'c4': 0.0011445433500171243, 'k': 2964.65047278001}
iter 20	15:58:21:
	r2 = {'fabius': {'default': 0.4877496999214783}}
	Parameters = {'c1': 2.96465047278001, 'c2': -1.726166019570305, 'c3': -0.12441569729531807, 'c4': 0.011144543350017124, 'k': 2964.65047278001}
iter 21	15:58:22:
	r2 = {'fabius': {'default': 0.563657475585623}}
	Parameters = {'c1': 3.1500822627659484, 'c2': -5.397246115567959, 'c3': -0.4015084961432884, 'c4': -0.016839512559614377, 'k': 3150.0822627659486}
iter 22	15:58:22:
	r2 = {'fabius': {'default': 0.5631297731148075}}
	Parameters = {'c1': 3.160082262765948, 'c2': -5.397246115567959, 'c3': -0.4015084961432884, 'c4': -0.016839512559614377, 'k': 3160.082262765948}
iter 23	15:58:22:
	r2 = {'fabius': {'default': 0.5634394897135011}}
	Parameters = {'c1': 3.1500822627659484, 'c2': -5.387246115567959, 'c3': -0.4015084961432884, 'c4': -0.016839512559614377, 'k': 3150.0822627659486}
iter 24	15:58:22:
	r2 = {'fabius': {'default': 0.5636416965378792}}
	Parameters = {'c1': 3.1500822627659484, 'c2': -5.397246115567959, 'c3': -0.39150849614328836, 'c4': -0.016839512559614377, 'k': 3150.0822627659486}
iter 25	15:58:23:
	r2 = {'fabius': {'default': 0.5636564732770022}}
	Parameters = {'c1': 3.1500822627659484, 'c2': -5.397246115567959, 'c3': -0.4015084961432884, 'c4': -0.006839512559614376, 'k': 3150.0822627659486}
iter 26	15:58:23:
	r2 = {'fabius': {'default': 0.7369337273643664}}
	Parameters = {'c1': 3.5744682705955406, 'c2': -15.276058964912888, 'c3': -1.1462260972866583, 'c4': -0.06508587855448508, 'k': 3574.4682705955406}
iter 27	15:58:23:
	r2 = {'fabius': {'default': 0.7363620322248339}}
	Parameters = {'c1': 3.5844682705955404, 'c2': -15.276058964912888, 'c3': -1.1462260972866583, 'c4': -0.06508587855448508, 'k': 3584.4682705955406}
iter 28	15:58:23:
	r2 = {'fabius': {'default': 0.7367618844794737}}
	Parameters = {'c1': 3.5744682705955406, 'c2': -15.266058964912888, 'c3': -1.1462260972866583, 'c4': -0.06508587855448508, 'k': 3574.4682705955406}
iter 29	15:58:24:
	r2 = {'fabius': {'default': 0.7369215871251078}}
	Parameters = {'c1': 3.5744682705955406, 'c2': -15.276058964912888, 'c3': -1.1362260972866582, 'c4': -0.06508587855448508, 'k': 3574.4682705955406}
iter 30	15:58:24:
	r2 = {'fabius': {'default': 0.7369329515937671}}
	Parameters = {'c1': 3.5744682705955406, 'c2': -15.276058964912888, 'c3': -1.1462260972866583, 'c4': -0.05508587855448508, 'k': 3574.4682705955406}
iter 31	15:58:24:
	r2 = {'fabius': {'default': 0.9578153822192332}}
	Parameters = {'c1': 4.55203927121104, 'c2': -38.77125691942239, 'c3': -2.9156527746643834, 'c4': -0.17982944904213335, 'k': 4552.03927121104}
iter 32	15:58:24:
	r2 = {'fabius': {'default': 0.9576228306026997}}
	Parameters = {'c1': 4.56203927121104, 'c2': -38.77125691942239, 'c3': -2.9156527746643834, 'c4': -0.17982944904213335, 'k': 4562.03927121104}
iter 33	15:58:25:
	r2 = {'fabius': {'default': 0.9577744459299526}}
	Parameters = {'c1': 4.55203927121104, 'c2': -38.761256919422394, 'c3': -2.9156527746643834, 'c4': -0.17982944904213335, 'k': 4552.03927121104}
iter 34	15:58:25:
	r2 = {'fabius': {'default': 0.9578130427238086}}
	Parameters = {'c1': 4.55203927121104, 'c2': -38.77125691942239, 'c3': -2.9056527746643837, 'c4': -0.17982944904213335, 'k': 4552.03927121104}
iter 35	15:58:25:
	r2 = {'fabius': {'default': 0.9578152590579102}}
	Parameters = {'c1': 4.55203927121104, 'c2': -38.77125691942239, 'c3': -2.9156527746643834, 'c4': -0.16982944904213335, 'k': 4552.03927121104}
iter 36	15:58:25:
	r2 = {'fabius': {'default': 0.9708513980556446}}
	Parameters = {'c1': 4.825728885176817, 'c2': -45.46730876432994, 'c3': -3.4172669523851056, 'c4': -0.21222653588299695, 'k': 4825.728885176817}
iter 37	15:58:26:
	r2 = {'fabius': {'default': 0.9708422015497219}}
	Parameters = {'c1': 4.835728885176817, 'c2': -45.46730876432994, 'c3': -3.4172669523851056, 'c4': -0.21222653588299695, 'k': 4835.728885176817}
iter 38	15:58:26:
	r2 = {'fabius': {'default': 0.970851049680126}}
	Parameters = {'c1': 4.825728885176817, 'c2': -45.457308764329944, 'c3': -3.4172669523851056, 'c4': -0.21222653588299695, 'k': 4825.728885176817}
iter 39	15:58:26:
	r2 = {'fabius': {'default': 0.9708520132880999}}
	Parameters = {'c1': 4.825728885176817, 'c2': -45.46730876432994, 'c3': -3.407266952385106, 'c4': -0.21222653588299695, 'k': 4825.728885176817}
iter 40	15:58:26:
	r2 = {'fabius': {'default': 0.9708514693763729}}
	Parameters = {'c1': 4.825728885176817, 'c2': -45.46730876432994, 'c3': -3.4172669523851056, 'c4': -0.20222653588299694, 'k': 4825.728885176817}
iter 41	15:58:27:
	r2 = {'fabius': {'default': 0.9708425829902789}}
	Parameters = {'c1': 4.824434327282486, 'c2': -45.44955208833936, 'c3': -3.41329047876564, 'c4': -0.21183830951700186, 'k': 4824.434327282485}
iter 42	15:58:27:
	r2 = {'fabius': {'default': 0.9708412706558726}}
	Parameters = {'c1': 4.8344343272824855, 'c2': -45.44955208833936, 'c3': -3.41329047876564, 'c4': -0.21183830951700186, 'k': 4834.434327282485}
iter 43	15:58:27:
	r2 = {'fabius': {'default': 0.9708424774106194}}
	Parameters = {'c1': 4.824434327282486, 'c2': -45.43955208833936, 'c3': -3.41329047876564, 'c4': -0.21183830951700186, 'k': 4824.434327282485}
iter 44	15:58:27:
	r2 = {'fabius': {'default': 0.9708432066545342}}
	Parameters = {'c1': 4.824434327282486, 'c2': -45.44955208833936, 'c3': -3.40329047876564, 'c4': -0.21183830951700186, 'k': 4824.434327282485}
iter 45	15:58:28:
	r2 = {'fabius': {'default': 0.9708426539480829}}
	Parameters = {'c1': 4.824434327282486, 'c2': -45.44955208833936, 'c3': -3.41329047876564, 'c4': -0.20183830951700185, 'k': 4824.434327282485}
iter 46	15:58:28:
	r2 = {'fabius': {'default': 0.9708512748336265}}
	Parameters = {'c1': 4.825709879999643, 'c2': -45.46704808168709, 'c3': -3.417208574474008, 'c4': -0.2122208363998748, 'k': 4825.709879999643}
iter 47	15:58:28:
	r2 = {'fabius': {'default': 0.9708421959048251}}
	Parameters = {'c1': 4.8357098799996425, 'c2': -45.46704808168709, 'c3': -3.417208574474008, 'c4': -0.2122208363998748, 'k': 4835.709879999643}
iter 48	15:58:28:
	r2 = {'fabius': {'default': 0.9708509274284803}}
	Parameters = {'c1': 4.825709879999643, 'c2': -45.45704808168709, 'c3': -3.417208574474008, 'c4': -0.2122208363998748, 'k': 4825.709879999643}
iter 49	15:58:29:
	r2 = {'fabius': {'default': 0.9708518900391968}}
	Parameters = {'c1': 4.825709879999643, 'c2': -45.46704808168709, 'c3': -3.407208574474008, 'c4': -0.2122208363998748, 'k': 4825.709879999643}
iter 50	15:58:29:
	r2 = {'fabius': {'default': 0.9708513444386423}}
	Parameters = {'c1': 4.825709879999643, 'c2': -45.46704808168709, 'c3': -3.417208574474008, 'c4': -0.2022208363998748, 'k': 4825.709879999643}
iter 51	15:58:29:
	r2 = {'fabius': {'default': 0.9708514000670215}}
	Parameters = {'c1': 4.825728599019769, 'c2': -45.46730483928494, 'c3': -3.417266073400891, 'c4': -0.21222645006705043, 'k': 4825.728599019769}
iter 52	15:58:29:
	r2 = {'fabius': {'default': 0.9708422095561454}}
	Parameters = {'c1': 4.8357285990197685, 'c2': -45.46730483928494, 'c3': -3.417266073400891, 'c4': -0.21222645006705043, 'k': 4835.728599019769}
iter 53	15:58:30:
	r2 = {'fabius': {'default': 0.9708510473617676}}
	Parameters = {'c1': 4.825728599019769, 'c2': -45.457304839284944, 'c3': -3.417266073400891, 'c4': -0.21222645006705043, 'k': 4825.728599019769}
iter 54	15:58:30:
	r2 = {'fabius': {'default': 0.9708520156281577}}
	Parameters = {'c1': 4.825728599019769, 'c2': -45.46730483928494, 'c3': -3.407266073400891, 'c4': -0.21222645006705043, 'k': 4825.728599019769}
iter 55	15:58:30:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.825728599019769, 'c2': -45.46730483928494, 'c3': -3.417266073400891, 'c4': -0.20222645006705042, 'k': 4825.728599019769}
iter 56	15:58:30:
	r2 = {'fabius': {'default': 0.9708514000670215}}
	Parameters = {'c1': 4.825728594426525, 'c2': -45.46730477628217, 'c3': -3.417266059291895, 'c4': -0.21222644868957768, 'k': 4825.728594426525}
iter 57	15:58:31:
	r2 = {'fabius': {'default': 0.9708422098872777}}
	Parameters = {'c1': 4.8357285944265245, 'c2': -45.46730477628217, 'c3': -3.417266059291895, 'c4': -0.21222644868957768, 'k': 4835.728594426524}
iter 58	15:58:31:
	r2 = {'fabius': {'default': 0.9708510475513265}}
	Parameters = {'c1': 4.825728594426525, 'c2': -45.45730477628217, 'c3': -3.417266059291895, 'c4': -0.21222644868957768, 'k': 4825.728594426525}
iter 59	15:58:31:
	r2 = {'fabius': {'default': 0.9708520158981699}}
	Parameters = {'c1': 4.825728594426525, 'c2': -45.46730477628217, 'c3': -3.4072660592918953, 'c4': -0.21222644868957768, 'k': 4825.728594426525}
iter 60	15:58:31:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.825728594426525, 'c2': -45.46730477628217, 'c3': -3.417266059291895, 'c4': -0.20222644868957768, 'k': 4825.728594426525}
iter 61	15:58:32:
	r2 = {'fabius': {'default': 0.9708513350522059}}
	Parameters = {'c1': 4.825719237213084, 'c2': -45.46717642898463, 'c3': -3.4172373168829515, 'c4': -0.21222364254472623, 'k': 4825.719237213084}
iter 62	15:58:32:
	r2 = {'fabius': {'default': 0.9708421957774352}}
	Parameters = {'c1': 4.835719237213084, 'c2': -45.46717642898463, 'c3': -3.4172373168829515, 'c4': -0.21222364254472623, 'k': 4835.719237213084}
iter 63	15:58:32:
	r2 = {'fabius': {'default': 0.9708509847398032}}
	Parameters = {'c1': 4.825719237213084, 'c2': -45.45717642898463, 'c3': -3.4172373168829515, 'c4': -0.21222364254472623, 'k': 4825.719237213084}
iter 64	15:58:32:
	r2 = {'fabius': {'default': 0.9708519520509554}}
	Parameters = {'c1': 4.825719237213084, 'c2': -45.46717642898463, 'c3': -3.4072373168829517, 'c4': -0.21222364254472623, 'k': 4825.719237213084}
iter 65	15:58:33:
	r2 = {'fabius': {'default': 0.9708514056513782}}
	Parameters = {'c1': 4.825719237213084, 'c2': -45.46717642898463, 'c3': -3.4172373168829515, 'c4': -0.20222364254472622, 'k': 4825.719237213084}
iter 66	15:58:33:
	r2 = {'fabius': {'default': 0.9708513977323394}}
	Parameters = {'c1': 4.825728463575206, 'c2': -45.467302981472926, 'c3': -3.4172656573579063, 'c4': -0.21222640944843418, 'k': 4825.728463575206}
iter 67	15:58:33:
	r2 = {'fabius': {'default': 0.9708422028246757}}
	Parameters = {'c1': 4.835728463575205, 'c2': -45.467302981472926, 'c3': -3.4172656573579063, 'c4': -0.21222640944843418, 'k': 4835.728463575206}
iter 68	15:58:33:
	r2 = {'fabius': {'default': 0.9708510466116159}}
	Parameters = {'c1': 4.825728463575206, 'c2': -45.45730298147293, 'c3': -3.4172656573579063, 'c4': -0.21222640944843418, 'k': 4825.728463575206}
iter 69	15:58:34:
	r2 = {'fabius': {'default': 0.9708520084667218}}
	Parameters = {'c1': 4.825728463575206, 'c2': -45.467302981472926, 'c3': -3.4072656573579065, 'c4': -0.21222640944843418, 'k': 4825.728463575206}
iter 70	15:58:34:
	r2 = {'fabius': {'default': 0.9708514629676259}}
	Parameters = {'c1': 4.825728463575206, 'c2': -45.467302981472926, 'c3': -3.4172656573579063, 'c4': -0.20222640944843417, 'k': 4825.728463575206}
iter 71	15:58:34:
	r2 = {'fabius': {'default': 0.9708514000670215}}
	Parameters = {'c1': 4.825728593682375, 'c2': -45.46730476607511, 'c3': -3.4172660570061004, 'c4': -0.21222644846641367, 'k': 4825.7285936823755}
iter 72	15:58:34:
	r2 = {'fabius': {'default': 0.9708422098872777}}
	Parameters = {'c1': 4.835728593682375, 'c2': -45.46730476607511, 'c3': -3.4172660570061004, 'c4': -0.21222644846641367, 'k': 4835.728593682375}
iter 73	15:58:35:
	r2 = {'fabius': {'default': 0.9708510475513265}}
	Parameters = {'c1': 4.825728593682375, 'c2': -45.45730476607511, 'c3': -3.4172660570061004, 'c4': -0.21222644846641367, 'k': 4825.7285936823755}
iter 74	15:58:35:
	r2 = {'fabius': {'default': 0.9708520158981699}}
	Parameters = {'c1': 4.825728593682375, 'c2': -45.46730476607511, 'c3': -3.4072660570061006, 'c4': -0.21222644846641367, 'k': 4825.7285936823755}
iter 75	15:58:35:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.825728593682375, 'c2': -45.46730476607511, 'c3': -3.4172660570061004, 'c4': -0.20222644846641366, 'k': 4825.7285936823755}
iter 76	15:58:35:
	r2 = {'fabius': {'default': 0.9708514000670215}}
	Parameters = {'c1': 4.825728592946546, 'c2': -45.46730475598218, 'c3': -3.4172660547458658, 'c4': -0.21222644824574508, 'k': 4825.728592946546}
iter 77	15:58:36:
	r2 = {'fabius': {'default': 0.9708422097553886}}
	Parameters = {'c1': 4.835728592946546, 'c2': -45.46730475598218, 'c3': -3.4172660547458658, 'c4': -0.21222644824574508, 'k': 4835.728592946546}
iter 78	15:58:36:
	r2 = {'fabius': {'default': 0.9708510475936072}}
	Parameters = {'c1': 4.825728592946546, 'c2': -45.45730475598218, 'c3': -3.4172660547458658, 'c4': -0.21222644824574508, 'k': 4825.728592946546}
iter 79	15:58:36:
	r2 = {'fabius': {'default': 0.9708520158981699}}
	Parameters = {'c1': 4.825728592946546, 'c2': -45.46730475598218, 'c3': -3.407266054745866, 'c4': -0.21222644824574508, 'k': 4825.728592946546}
iter 80	15:58:36:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.825728592946546, 'c2': -45.46730475598218, 'c3': -3.4172660547458658, 'c4': -0.20222644824574507, 'k': 4825.728592946546}
iter 81	15:58:37:
	r2 = {'fabius': {'default': 0.9708513990228411}}
	Parameters = {'c1': 4.825728528260876, 'c2': -45.467303868727555, 'c3': -3.417265856051886, 'c4': -0.21222642884708964, 'k': 4825.7285282608755}
iter 82	15:58:37:
	r2 = {'fabius': {'default': 0.9708422020848505}}
	Parameters = {'c1': 4.8357285282608755, 'c2': -45.467303868727555, 'c3': -3.417265856051886, 'c4': -0.21222642884708964, 'k': 4835.7285282608755}
iter 83	15:58:37:
	r2 = {'fabius': {'default': 0.970851047761206}}
	Parameters = {'c1': 4.825728528260876, 'c2': -45.45730386872756, 'c3': -3.417265856051886, 'c4': -0.21222642884708964, 'k': 4825.7285282608755}
iter 84	15:58:37:
	r2 = {'fabius': {'default': 0.970852010733202}}
	Parameters = {'c1': 4.825728528260876, 'c2': -45.467303868727555, 'c3': -3.407265856051886, 'c4': -0.21222642884708964, 'k': 4825.7285282608755}
iter 85	15:58:38:
	r2 = {'fabius': {'default': 0.9708514651344547}}
	Parameters = {'c1': 4.825728528260876, 'c2': -45.467303868727555, 'c3': -3.417265856051886, 'c4': -0.20222642884708963, 'k': 4825.7285282608755}
iter 86	15:58:38:
	r2 = {'fabius': {'default': 0.9708514000670215}}
	Parameters = {'c1': 4.82572859254111, 'c2': -45.46730475042106, 'c3': -3.4172660535004944, 'c4': -0.21222644812415847, 'k': 4825.728592541111}
iter 87	15:58:38:
	r2 = {'fabius': {'default': 0.9708422097553886}}
	Parameters = {'c1': 4.83572859254111, 'c2': -45.46730475042106, 'c3': -3.4172660535004944, 'c4': -0.21222644812415847, 'k': 4835.72859254111}
iter 88	15:58:38:
	r2 = {'fabius': {'default': 0.9708510475936072}}
	Parameters = {'c1': 4.82572859254111, 'c2': -45.45730475042106, 'c3': -3.4172660535004944, 'c4': -0.21222644812415847, 'k': 4825.728592541111}
iter 89	15:58:39:
	r2 = {'fabius': {'default': 0.9708520158981699}}
	Parameters = {'c1': 4.82572859254111, 'c2': -45.46730475042106, 'c3': -3.4072660535004946, 'c4': -0.21222644812415847, 'k': 4825.728592541111}
iter 90	15:58:39:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.82572859254111, 'c2': -45.46730475042106, 'c3': -3.4172660535004944, 'c4': -0.20222644812415846, 'k': 4825.728592541111}
iter 91	15:58:39:
	r2 = {'fabius': {'default': 0.970851400691996}}
	Parameters = {'c1': 4.825728592140662, 'c2': -45.46730474492835, 'c3': -3.4172660522704446, 'c4': -0.2122264480040677, 'k': 4825.728592140662}
iter 92	15:58:40:
	r2 = {'fabius': {'default': 0.9708422097553886}}
	Parameters = {'c1': 4.835728592140661, 'c2': -45.46730474492835, 'c3': -3.4172660522704446, 'c4': -0.2122264480040677, 'k': 4835.728592140661}
iter 93	15:58:40:
	r2 = {'fabius': {'default': 0.9708510475936072}}
	Parameters = {'c1': 4.825728592140662, 'c2': -45.45730474492835, 'c3': -3.4172660522704446, 'c4': -0.2122264480040677, 'k': 4825.728592140662}
iter 94	15:58:40:
	r2 = {'fabius': {'default': 0.9708520158981699}}
	Parameters = {'c1': 4.825728592140662, 'c2': -45.46730474492835, 'c3': -3.4072660522704448, 'c4': -0.2122264480040677, 'k': 4825.728592140662}
iter 95	15:58:40:
	r2 = {'fabius': {'default': 0.9708514654847227}}
	Parameters = {'c1': 4.825728592140662, 'c2': -45.46730474492835, 'c3': -3.4172660522704446, 'c4': -0.2022264480040677, 'k': 4825.728592140662}
iter 96	15:58:41:
	r2 = {'fabius': {'default': 0.9708514013713713}}
	Parameters = {'c1': 4.825728560200769, 'c2': -45.467304306827955, 'c3': -3.417265954161165, 'c4': -0.21222643842557867, 'k': 4825.728560200769}
iter 97	15:58:41:
	r2 = {'fabius': {'default': 0.9708422059698119}}
	Parameters = {'c1': 4.835728560200769, 'c2': -45.467304306827955, 'c3': -3.417265954161165, 'c4': -0.21222643842557867, 'k': 4835.728560200769}
iter 98	15:58:41:
	r2 = {'fabius': {'default': 0.9708510468134633}}
	Parameters = {'c1': 4.825728560200769, 'c2': -45.45730430682796, 'c3': -3.417265954161165, 'c4': -0.21222643842557867, 'k': 4825.728560200769}
iter 99	15:58:41:
	r2 = {'fabius': {'default': 0.9708520160088867}}
	Parameters = {'c1': 4.825728560200769, 'c2': -45.467304306827955, 'c3': -3.4072659541611654, 'c4': -0.21222643842557867, 'k': 4825.728560200769}
iter 100	15:58:42:
	r2 = {'fabius': {'default': 0.97085146845328}}
	Parameters = {'c1': 4.825728560200769, 'c2': -45.467304306827955, 'c3': -3.417265954161165, 'c4': -0.20222643842557866, 'k': 4825.728560200769}
iter 101	15:58:42:
	r2 = {'fabius': {'default': 0.9708514013713713}}
	Parameters = {'c1': 4.825728560040673, 'c2': -45.467304304632016, 'c3': -3.4172659536694026, 'c4': -0.2122264383775675, 'k': 4825.728560040673}
iter 102	15:58:42:
	r2 = {'fabius': {'default': 0.9708422059698119}}
	Parameters = {'c1': 4.835728560040673, 'c2': -45.467304304632016, 'c3': -3.4172659536694026, 'c4': -0.2122264383775675, 'k': 4835.728560040673}
iter 103	15:58:43:
	r2 = {'fabius': {'default': 0.9708510468134633}}
	Parameters = {'c1': 4.825728560040673, 'c2': -45.45730430463202, 'c3': -3.4172659536694026, 'c4': -0.2122264383775675, 'k': 4825.728560040673}
iter 104	15:58:43:
	r2 = {'fabius': {'default': 0.9708520160088867}}
	Parameters = {'c1': 4.825728560040673, 'c2': -45.467304304632016, 'c3': -3.4072659536694028, 'c4': -0.2122264383775675, 'k': 4825.728560040673}
iter 105	15:58:43:
	r2 = {'fabius': {'default': 0.97085146845328}}
	Parameters = {'c1': 4.825728560040673, 'c2': -45.467304304632016, 'c3': -3.4172659536694026, 'c4': -0.20222643837756749, 'k': 4825.728560040673}
iter 106	15:58:43:
	r2 = {'fabius': {'default': 0.9708514013713713}}
	Parameters = {'c1': 4.825728559996261, 'c2': -45.46730430402284, 'c3': -3.417265953532982, 'c4': -0.21222643836424862, 'k': 4825.728559996261}
iter 107	15:58:44:
	r2 = {'fabius': {'default': 0.9708422059698119}}
	Parameters = {'c1': 4.8357285599962605, 'c2': -45.46730430402284, 'c3': -3.417265953532982, 'c4': -0.21222643836424862, 'k': 4835.728559996261}
iter 108	15:58:44:
	r2 = {'fabius': {'default': 0.9708510468134633}}
	Parameters = {'c1': 4.825728559996261, 'c2': -45.45730430402284, 'c3': -3.417265953532982, 'c4': -0.21222643836424862, 'k': 4825.728559996261}
iter 109	15:58:44:
	r2 = {'fabius': {'default': 0.9708520160088867}}
	Parameters = {'c1': 4.825728559996261, 'c2': -45.46730430402284, 'c3': -3.407265953532982, 'c4': -0.21222643836424862, 'k': 4825.728559996261}
iter 110	15:58:45:
	r2 = {'fabius': {'default': 0.97085146845328}}
	Parameters = {'c1': 4.825728559996261, 'c2': -45.46730430402284, 'c3': -3.417265953532982, 'c4': -0.2022264383642486, 'k': 4825.728559996261}
iter 111	15:58:45:
	r2 = {'fabius': {'default': 0.9708514013715144}}
	Parameters = {'c1': 4.825728544128569, 'c2': -45.467304086375194, 'c3': -3.417265904792434, 'c4': -0.21222643360566912, 'k': 4825.7285441285685}
iter 112	15:58:45:
	r2 = {'fabius': {'default': 0.9708422047511079}}
	Parameters = {'c1': 4.8357285441285685, 'c2': -45.467304086375194, 'c3': -3.417265904792434, 'c4': -0.21222643360566912, 'k': 4835.7285441285685}
iter 113	15:58:46:
	r2 = {'fabius': {'default': 0.9708510492431403}}
	Parameters = {'c1': 4.825728544128569, 'c2': -45.457304086375196, 'c3': -3.417265904792434, 'c4': -0.21222643360566912, 'k': 4825.7285441285685}
iter 114	15:58:46:
	r2 = {'fabius': {'default': 0.9708520122258213}}
	Parameters = {'c1': 4.825728544128569, 'c2': -45.467304086375194, 'c3': -3.407265904792434, 'c4': -0.21222643360566912, 'k': 4825.7285441285685}
iter 115	15:58:46:
	r2 = {'fabius': {'default': 0.9708514661255351}}
	Parameters = {'c1': 4.825728544128569, 'c2': -45.467304086375194, 'c3': -3.417265904792434, 'c4': -0.2022264336056691, 'k': 4825.7285441285685}
iter 116	15:58:46:
	r2 = {'fabius': {'default': 0.9708514013715144}}
	Parameters = {'c1': 4.8257285441174185, 'c2': -45.46730408622226, 'c3': -3.4172659047581853, 'c4': -0.21222643360232538, 'k': 4825.728544117418}
iter 117	15:58:47:
	r2 = {'fabius': {'default': 0.9708422047511079}}
	Parameters = {'c1': 4.835728544117418, 'c2': -45.46730408622226, 'c3': -3.4172659047581853, 'c4': -0.21222643360232538, 'k': 4835.728544117418}
iter 118	15:58:47:
	r2 = {'fabius': {'default': 0.9708510492431403}}
	Parameters = {'c1': 4.8257285441174185, 'c2': -45.457304086222265, 'c3': -3.4172659047581853, 'c4': -0.21222643360232538, 'k': 4825.728544117418}
iter 119	15:58:47:
	r2 = {'fabius': {'default': 0.9708520122258213}}
	Parameters = {'c1': 4.8257285441174185, 'c2': -45.46730408622226, 'c3': -3.4072659047581855, 'c4': -0.21222643360232538, 'k': 4825.728544117418}
iter 120	15:58:47:
	r2 = {'fabius': {'default': 0.9708514661255351}}
	Parameters = {'c1': 4.8257285441174185, 'c2': -45.46730408622226, 'c3': -3.4172659047581853, 'c4': -0.20222643360232537, 'k': 4825.728544117418}
iter 121	15:58:48:
