iter 1	16:05:28:
	r2 = {'fabius': {'default': 0.9712015879801495}}
	Parameters = {'c1': 4.860301365171028, 'c2': -46.35716754459062, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.301365171028}
iter 17	16:05:32:
	r2 = {'fabius': {'default': 0.9712015826888583}}
	Parameters = {'c1': 4.860252762643402, 'c2': -46.35670397291517, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.252762643402}
iter 18	16:05:33:
	r2 = {'fabius': {'default': 0.9712015772515795}}
	Parameters = {'c1': 4.860252762643402, 'c2': -46.35716754459062, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.252762643402}
iter 19	16:05:33:
	r2 = {'fabius': {'default': 0.9712015772515795}}
	Parameters = {'c1': 4.860252762643402, 'c2': -46.35716754459062, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4860.252762643402}
iter 20	16:05:33:
	r2 = {'fabius': {'default': 0.9712015772515795}}
	Parameters = {'c1': 4.860252762643402, 'c2': -46.35716754459062, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4860.252762643402}
iter 21	16:05:33:
	r2 = {'fabius': {'default': 0.971201633015504}}
	Parameters = {'c1': 4.860291594337537, 'c2': -46.35402229971278, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.2915943375365}
iter 22	16:05:34:
	r2 = {'fabius': {'default': 0.9712016383987245}}
	Parameters = {'c1': 4.86034019725348, 'c2': -46.35402229971278, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.34019725348}
iter 23	16:05:34:
	r2 = {'fabius': {'default': 0.9712016387474257}}
	Parameters = {'c1': 4.860291594337537, 'c2': -46.353558759489786, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.2915943375365}
iter 24	16:05:34:
	r2 = {'fabius': {'default': 0.9712016334631794}}
	Parameters = {'c1': 4.860291594337537, 'c2': -46.35402229971278, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.2915943375365}
iter 25	16:05:34:
	r2 = {'fabius': {'default': 0.971201633015504}}
	Parameters = {'c1': 4.860291594337537, 'c2': -46.35402229971278, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4860.2915943375365}
iter 26	16:05:35:
	r2 = {'fabius': {'default': 0.971201633015504}}
	Parameters = {'c1': 4.860291594337537, 'c2': -46.35402229971278, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4860.2915943375365}
iter 27	16:05:35:
	r2 = {'fabius': {'default': 0.9712017588543305}}
	Parameters = {'c1': 4.860297799746674, 'c2': -46.35372017402267, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.297799746674}
iter 28	16:05:35:
	r2 = {'fabius': {'default': 0.9712017657619628}}
	Parameters = {'c1': 4.860346402724672, 'c2': -46.35372017402267, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.346402724672}
iter 29	16:05:35:
	r2 = {'fabius': {'default': 0.9712017625268035}}
	Parameters = {'c1': 4.860297799746674, 'c2': -46.35325663682093, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.297799746674}
iter 30	16:05:36:
	r2 = {'fabius': {'default': 0.9712017588543305}}
	Parameters = {'c1': 4.860297799746674, 'c2': -46.35372017402267, 'c3': 0.0517080747248132, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.297799746674}
iter 31	16:05:36:
	r2 = {'fabius': {'default': 0.9712017588543305}}
	Parameters = {'c1': 4.860297799746674, 'c2': -46.35372017402267, 'c3': 0.05170755764923671, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4860.297799746674}
iter 32	16:05:36:
	r2 = {'fabius': {'default': 0.9712017588543305}}
	Parameters = {'c1': 4.860297799746674, 'c2': -46.35372017402267, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.000499995, 'k': 4860.297799746674}
iter 33	16:05:36:
	r2 = {'fabius': {'default': 0.9712017703728896}}
	Parameters = {'c1': 4.860323627179311, 'c2': -46.35151081627905, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.323627179311}
iter 34	16:05:36:
	r2 = {'fabius': {'default': 0.9712017650054149}}
	Parameters = {'c1': 4.860372230415583, 'c2': -46.35151081627905, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.3722304155835}
iter 35	16:05:37:
	r2 = {'fabius': {'default': 0.9712017704088457}}
	Parameters = {'c1': 4.860323627179311, 'c2': -46.35104730117089, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.323627179311}
iter 36	16:05:37:
	r2 = {'fabius': {'default': 0.9712017703728896}}
	Parameters = {'c1': 4.860323627179311, 'c2': -46.35151081627905, 'c3': 0.0517080747248132, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.323627179311}
iter 37	16:05:37:
	r2 = {'fabius': {'default': 0.9712017703728896}}
	Parameters = {'c1': 4.860323627179311, 'c2': -46.35151081627905, 'c3': 0.05170755764923671, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4860.323627179311}
iter 38	16:05:37:
	r2 = {'fabius': {'default': 0.9712017703728896}}
	Parameters = {'c1': 4.860323627179311, 'c2': -46.35151081627905, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.000499995, 'k': 4860.323627179311}
iter 39	16:05:37:
	r2 = {'fabius': {'default': 0.9712017758187731}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.348484662040846, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.1649376717205}
iter 40	16:05:38:
	r2 = {'fabius': {'default': 0.971201770200558}}
	Parameters = {'c1': 4.860213539321098, 'c2': -46.348484662040846, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.213539321098}
iter 41	16:05:38:
	r2 = {'fabius': {'default': 0.971201766450254}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.34802117719423, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.1649376717205}
iter 42	16:05:38:
	r2 = {'fabius': {'default': 0.9712017758187731}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.348484662040846, 'c3': 0.0517080747248132, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.1649376717205}
iter 43	16:05:38:
	r2 = {'fabius': {'default': 0.9712017758187731}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.348484662040846, 'c3': 0.05170755764923671, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4860.1649376717205}
iter 44	16:05:38:
	r2 = {'fabius': {'default': 0.9712017758187731}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.348484662040846, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.000499995, 'k': 4860.1649376717205}
iter 45	16:05:39:
	r2 = {'fabius': {'default': 0.9712017593553084}}
	Parameters = {'c1': 4.860246619746871, 'c2': -46.35300539439977, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.246619746871}
iter 46	16:05:39:
	r2 = {'fabius': {'default': 0.9712017688697828}}
	Parameters = {'c1': 4.860173311245708, 'c2': -46.350383332465576, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.173311245708}
iter 47	16:05:39:
	r2 = {'fabius': {'default': 0.9712017728091091}}
	Parameters = {'c1': 4.860162341095033, 'c2': -46.349278665599066, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.162341095033}
iter 48	16:05:39:
	r2 = {'fabius': {'default': 0.9712017728364462}}
	Parameters = {'c1': 4.860162646994593, 'c2': -46.348845446712865, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.162646994593}
iter 49	16:05:40:
	r2 = {'fabius': {'default': 0.9712017701480105}}
	Parameters = {'c1': 4.860164001008549, 'c2': -46.34860093319634, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.164001008549}
iter 50	16:05:40:
	r2 = {'fabius': {'default': 0.9712017697815948}}
	Parameters = {'c1': 4.860164786526217, 'c2': -46.34850196312331, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.164786526217}
iter 51	16:05:40:
	r2 = {'fabius': {'default': 0.9712017738780219}}
	Parameters = {'c1': 4.860164922327322, 'c2': -46.348486397332096, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.1649223273225}
iter 52	16:05:40:
	r2 = {'fabius': {'default': 0.9712017758187731}}
	Parameters = {'c1': 4.860164937671721, 'c2': -46.348484662040846, 'c3': 0.05170755764923671, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.1649376717205}
