iter 1	16:00:43:
	Parameters = {'c1': 3.956670604099089, 'c2': 235.8368872207351, 'c3': -4654.2494292502215, 'c4': 0.01, 'k': 3956.670604099089}
iter 20	16:00:50:
	r2 = {'fabius': {'default': -2.659757172984845}}
	Parameters = {'c1': 3.956631037788711, 'c2': 235.8392455896073, 'c3': -4654.2494292502215, 'c4': 0.01, 'k': 3956.631037788711}
iter 21	16:00:50:
	r2 = {'fabius': {'default': -2.6597025780246057}}
	Parameters = {'c1': 3.956631037788711, 'c2': 235.8368872207351, 'c3': -4654.202886755929, 'c4': 0.01, 'k': 3956.631037788711}
iter 22	16:00:50:
	r2 = {'fabius': {'default': -2.6595630588242867}}
	Parameters = {'c1': 3.956631037788711, 'c2': 235.8368872207351, 'c3': -4654.2494292502215, 'c4': 0.0100001, 'k': 3956.631037788711}
iter 23	16:00:51:
	r2 = {'fabius': {'default': -2108497.201032032}}
	Parameters = {'c1': 3.8092251193719147, 'c2': 368.1856062159521, 'c3': -7868.926355830752, 'c4': 0.01, 'k': 3809.225119371915}
iter 24	16:00:51:
	r2 = {'fabius': {'default': -2.078206582291172}}
	Parameters = {'c1': 3.9791736883734905, 'c2': 259.9557684332145, 'c3': -5635.495550143687, 'c4': 0.01, 'k': 3979.1736883734907}
iter 25	16:00:51:
	r2 = {'fabius': {'default': -1.9905852435049396}}
	Parameters = {'c1': 3.9792134801103742, 'c2': 259.9557684332145, 'c3': -5635.495550143687, 'c4': 0.01, 'k': 3979.2134801103743}
iter 26	16:00:51:
	r2 = {'fabius': {'default': -1.9991197268262288}}
	Parameters = {'c1': 3.9791736883734905, 'c2': 259.9583679908988, 'c3': -5635.495550143687, 'c4': 0.01, 'k': 3979.1736883734907}
iter 27	16:00:52:
	r2 = {'fabius': {'default': -1.9990720068123888}}
	Parameters = {'c1': 3.9791736883734905, 'c2': 259.9557684332145, 'c3': -5635.439195188185, 'c4': 0.01, 'k': 3979.1736883734907}
iter 28	16:00:52:
	r2 = {'fabius': {'default': -1.9989639757799051}}
	Parameters = {'c1': 3.9791736883734905, 'c2': 259.9557684332145, 'c3': -5635.495550143687, 'c4': 0.0100001, 'k': 3979.1736883734907}
iter 29	16:00:52:
	r2 = {'fabius': {'default': -1.9899150665883836}}
	Parameters = {'c1': 3.979317067960775, 'c2': 259.94758727062117, 'c3': -5635.676918434613, 'c4': 0.010000294186986728, 'k': 3979.3170679607747}
iter 30	16:00:53:
	r2 = {'fabius': {'default': -1.990498338588067}}
	Parameters = {'c1': 3.979233320366105, 'c2': 259.9545747738097, 'c3': -5635.521434697306, 'c4': 0.009999954180402655, 'k': 3979.233320366105}
iter 31	16:00:53:
	r2 = {'fabius': {'default': -1.9989693792325514}}
	Parameters = {'c1': 3.9791837783308766, 'c2': 259.9556204056474, 'c3': -5635.498760345443, 'c4': 0.009999994312653939, 'k': 3979.1837783308765}
iter 32	16:00:53:
	r2 = {'fabius': {'default': -1.9989672391879836}}
	Parameters = {'c1': 3.9791747489136466, 'c2': 259.9557788664799, 'c3': -5635.495324054155, 'c4': 0.010000000401783764, 'k': 3979.1747489136465}
iter 33	16:00:53:
	r2 = {'fabius': {'default': -3.095238524296148}}
	Parameters = {'c1': 3.9791737819329343, 'c2': 259.95577044797153, 'c3': -5635.49550647302, 'c4': 0.010000000077533336, 'k': 3979.173781932934}
iter 34	16:00:54:
	r2 = {'fabius': {'default': -1.9989641143457426}}
	Parameters = {'c1': 3.9791736979799097, 'c2': 259.95576865072854, 'c3': -5635.495545428934, 'c4': 0.010000000008370293, 'k': 3979.17369797991}
iter 35	16:00:54:
	r2 = {'fabius': {'default': -2.950928269175217}}
	Parameters = {'c1': 3.9791736893367844, 'c2': 259.95576845513574, 'c3': -5635.495549668529, 'c4': 0.010000000000843563, 'k': 3979.1736893367843}
iter 36	16:00:54:
	r2 = {'fabius': {'default': -1.9989639757799051}}
	Parameters = {'c1': 3.9791736884698468, 'c2': 259.9557684354083, 'c3': -5635.495550096134, 'c4': 0.010000000000084422, 'k': 3979.1736884698466}
iter 37	16:00:55:
	r2 = {'fabius': {'default': -2.078206582291172}}
	Parameters = {'c1': 3.9791736883734905, 'c2': 259.9557684332145, 'c3': -5635.495550143687, 'c4': 0.01, 'k': 3979.1736883734907}
